INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Worcester State University,219000,1,1020.0,0.3006,0.5468,0.68566027545233,4569.0,8783.0,0.843037975,13845,68531.82,1,4,1,0.0,0.0,12.0,17495.0,Graduate,Public,New England,City: Midsize,City
Adrian College,223400,3,1008.0,0.4145,0.8783,0.61031356252361,1081.0,7789.0,0.795275591,19500,66915.1,1,4,2,0.0,0.0,32.0,23128.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Albion College,223500,3,1104.0,0.2737,0.6349,0.7980022197558199,1525.0,7346.0,0.867647059,24000,71425.7,1,3,2,0.0,0.0,31.0,22232.0,Bachelors,Private non-profit,Great Lakes,Town: Fringe,Town
Hillsdale Beauty College,2595700,3,,0.7407,0.7222,,,,PrivacySuppressed,5500,56463.51,3,1,3,0.0,0.0,32.0,10650.0,Certificate,Private for-profit,Great Lakes,Town: Distant,Town
Northwestern Technological Institute,3124000,3,,0.8379,0.8485,,97.0,,0.219202899,8356,57620.36,3,1,3,0.0,0.0,13.0,29213.0,Certificate,Private for-profit,Great Lakes,City: Small,City
Alma College,223600,3,1110.0,0.3037,0.9011,0.6756756756756701,1409.0,7319.0,0.869731801,23875,61676.21,1,3,2,0.0,0.0,32.0,22080.0,Bachelors,Private non-profit,Great Lakes,Town: Distant,Town
Alpena Community College,223700,3,,0.4639,0.3032,,1853.0,8296.0,0.71641791,5500,46499.49,2,2,1,0.0,0.0,41.0,3807.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Andrews University,223800,3,1091.0,0.2726,0.4528,0.39209450249886,1736.0,4904.0,0.640410959,23000,63096.48,1,4,2,0.0,0.0,31.0,21177.0,Graduate,Private non-profit,Great Lakes,Town: Fringe,Town
Aquinas College,223900,3,1090.0,0.3253,0.6428,0.72409867172675,2021.0,6047.0,PrivacySuppressed,19500,64829.33,1,4,2,0.0,0.0,12.0,16624.0,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Baker College,467300,3,,0.6294,0.6738,,3896.0,5152.0,0.614767548,12534,59405.88,1,4,2,0.0,0.0,21.0,12875.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
Bay de Noc Community College,224000,3,,0.4339,0.3244,,2073.0,7412.0,0.753488372,7249,47260.35,2,2,1,0.0,0.0,33.0,6973.0,Associates,Public,Great Lakes,Town: Remote,Town
Bayshire Academy of Beauty Craft Inc,2285700,3,,0.7273,0.0,,51.0,,,PrivacySuppressed,49669.06,3,1,3,0.0,0.0,13.0,2896.0,Certificate,Private for-profit,Great Lakes,City: Small,City
Cadillac Institute of Cosmetology,3109701,3,,0.4314,0.0,,,,,PrivacySuppressed,,3,1,3,0.0,0.0,33.0,15483.0,Certificate,Private for-profit,Great Lakes,Town: Remote,Town
Calvin College,224100,3,1202.0,0.226,0.5303,0.7426778242677801,4263.0,8258.0,0.898876405,21948.5,70660.49,1,4,2,0.0,0.0,12.0,24177.0,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Calvin Theological Seminary,224200,3,,,,,,7421.0,PrivacySuppressed,PrivacySuppressed,62234.32,1,4,2,0.0,0.0,12.0,,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Carnegie Institute,761700,3,,0.6265,0.8072,,148.0,,0.693602694,7245,69971.87,2,1,3,0.0,0.0,13.0,14930.0,Certificate,Private for-profit,Great Lakes,City: Small,City
Michigan School of Professional Psychology,2198900,3,,,,,,6851.0,,PrivacySuppressed,,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,Great Lakes,City: Small,City
Central Michigan University,224300,3,1049.0,0.3543,0.7248,0.6874831763122401,18620.0,8462.0,0.724523507,21500,66048.2,1,4,1,0.0,0.0,32.0,14509.0,Graduate,Public,Great Lakes,Town: Distant,Town
Mott Community College,226100,3,,0.5206,0.4168,,8659.0,7881.0,0.602678571,6438,55618.75,2,2,1,0.0,0.0,12.0,6410.0,Associates,Public,Great Lakes,City: Midsize,City
Empire Beauty School-Michigan,817800,3,,0.6883,0.6659999999999999,,173.0,,0.368,8526,63712.8,3,1,3,0.0,0.0,21.0,12829.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Cleary University,224600,3,950.0,0.4671,0.8934,0.7230769230769201,337.0,5988.0,0.69,14375,81153.11,1,4,2,0.0,0.0,22.0,10182.0,Graduate,Private non-profit,Great Lakes,Suburb: Midsize,Suburb
Concordia University-Ann Arbor,384256,3,1052.0,0.3577,0.7198,0.67535853976531,590.0,4449.0,0.759322034,15015,70459.21,1,4,2,0.0,0.0,12.0,20434.0,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Cranbrook Academy of Art,224800,3,,,,,,9677.0,PrivacySuppressed,PrivacySuppressed,,1,4,2,0.0,0.0,21.0,,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
College for Creative Studies,677100,3,1070.0,0.3405,0.6338,0.49613325401546,1086.0,7165.0,0.751445087,21500,74293.04,1,4,2,0.0,0.0,11.0,33309.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Davenport University,224900,3,,0.4941,0.6789,0.89229382604776,2253.0,6244.0,0.405714286,17324.5,56679.53,1,4,2,0.0,0.0,21.0,16512.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
David Pressley School of Cosmetology,1082700,3,,0.5355,0.5452,,122.0,,0.529126214,6792,76603.21,3,1,3,0.0,0.0,21.0,14389.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Delta College,225100,3,,0.4387,0.2042,,9358.0,8905.0,0.659793814,4700,53102.26,2,2,1,0.0,0.0,41.0,3929.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Detroit Business Institute-Downriver,3005700,3,,0.7323,0.937,,110.0,,0.467625899,11014,50389.73,3,1,3,0.0,0.0,21.0,,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Michigan State University-College of Law,225400,3,,,,,,10431.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,Great Lakes,City: Small,City
MIAT College of Technology,2060300,3,,0.6459999999999999,0.6952,0.6422764227642199,315.0,3109.0,0.56097561,13000,68533.62,2,2,3,0.0,0.0,21.0,15112.0,Associates,Private for-profit,Great Lakes,Suburb: Large,Suburb
University of Detroit Mercy,232300,3,1122.0,0.2922,0.6217,0.72917134516056,3830.0,8681.0,0.780838323,20500,64142.33,1,4,2,0.0,0.0,11.0,22524.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Dorsey Business Schools-Madison Heights,469202,3,,0.9645,0.9898,,114.0,,0.308641975,9500,60108.1,3,1,3,0.0,0.0,21.0,26565.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Dorsey Business Schools-Southgate,469200,3,,0.8854,0.8662,,155.0,,0.308641975,9500,60108.1,3,1,3,0.0,0.0,21.0,26358.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Eastern Michigan University,225900,3,1029.0,0.4388,0.7191,0.7477521775779701,18189.0,9227.0,0.7138863,18250,69989,1,4,1,0.0,0.0,21.0,12675.0,Graduate,Public,Great Lakes,Suburb: Large,Suburb
Ferris State University,226000,3,1009.0,0.4009,0.6285,0.7817811012916299,9235.0,8434.0,0.773632742,17250,61040.62,1,4,1,0.0,0.0,32.0,13306.0,Graduate,Public,Great Lakes,Town: Distant,Town
Flint Institute of Barbering Inc,1109800,3,,0.7561,0.6707,0.86206896551724,29.0,,PrivacySuppressed,11538,51277.74,2,1,3,0.0,0.0,12.0,4518.0,Certificate,Private for-profit,Great Lakes,City: Midsize,City
Glen Oaks Community College,226300,3,,0.3578,0.1938,,1601.0,5968.0,0.603448276,5603,56016.09,2,2,1,0.0,0.0,42.0,5957.0,Associates,Public,Great Lakes,Rural: Distant,Rural
Kettering University,226200,3,1204.0,0.2465,0.7587,0.7009685230024201,2632.0,7966.0,PrivacySuppressed,23000,70813.57,1,4,2,0.0,0.0,12.0,34029.0,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Gogebic Community College,226400,3,,0.4434,0.3533,,1106.0,6658.0,0.78440367,5500,41537.2,2,2,1,0.0,0.0,41.0,8627.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Grace Bible College,226500,3,,0.6578,0.7881,0.81318681318681,140.0,4090.0,0.75,8250,62527.83,1,3,2,0.0,0.0,13.0,12408.0,Bachelors,Private non-profit,Great Lakes,City: Small,City
Cornerstone University,226600,3,1033.0,0.4043,0.7031,0.7297709923664101,1592.0,5861.0,0.773722628,18467.5,63718.46,1,4,2,0.0,0.0,12.0,18505.0,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Grand Rapids Community College,226700,3,,0.385,0.3338,,13400.0,8205.0,0.675986842,4500,62852.11,2,2,1,0.0,0.0,12.0,5344.0,Associates,Public,Great Lakes,City: Midsize,City
Grand Valley State University,226800,3,1090.0,0.3468,0.631,0.81140738124668,15211.0,8254.0,0.771276596,19220.5,67198.25,1,4,1,0.0,0.0,21.0,16491.0,Graduate,Public,Great Lakes,Suburb: Large,Suburb
Great Lakes Christian College,226900,3,,0.6625,0.7,,213.0,5720.0,PrivacySuppressed,11250,62071.55,1,3,2,0.0,0.0,21.0,16882.0,Bachelors,Private non-profit,Great Lakes,Suburb: Large,Suburb
Henry Ford College,227000,3,,0.536,0.3787,,12742.0,9329.0,0.503921569,6530.5,54248.21,2,2,1,0.0,0.0,13.0,4200.0,Associates,Public,Great Lakes,City: Small,City
Hope College,227300,3,1205.0,0.2055,0.5534,0.7203619909502199,3015.0,8053.0,0.871575343,24841,72371.25,1,3,2,0.0,0.0,13.0,23994.0,Bachelors,Private non-profit,Great Lakes,City: Small,City
Jackson College,227400,3,,0.5449,0.385,,5069.0,6998.0,PrivacySuppressed,6500,59829.6,1,2,1,0.0,0.0,41.0,11238.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Kalamazoo College,227500,3,,0.2129,0.5195,0.71649694501018,1322.0,8227.0,0.869565217,22500,74950.12,1,3,2,0.0,0.0,13.0,22647.0,Bachelors,Private non-profit,Great Lakes,City: Small,City
Kalamazoo Valley Community College,694900,3,,0.4292,0.29100000000000004,,9319.0,9587.0,0.602105263,5250,58190.07,2,2,1,0.0,0.0,22.0,4182.0,Associates,Public,Great Lakes,Suburb: Midsize,Suburb
Kellogg Community College,227600,3,,0.3105,0.4738,,5300.0,8839.0,0.520408163,8250,55749.75,2,2,1,0.0,0.0,13.0,5829.0,Associates,Public,Great Lakes,City: Small,City
Kirtland Community College,717100,3,,0.5353,0.2837,,1307.0,5525.0,0.648648649,6650,44643.16,2,2,1,0.0,0.0,43.0,6391.0,Associates,Public,Great Lakes,Rural: Remote,Rural
Michigan College of Beauty-Monroe,2324500,3,,0.5106,0.6383,,98.0,,0.589285714,5865,64218.44,3,1,3,0.0,0.0,23.0,8026.0,Certificate,Private for-profit,Great Lakes,Suburb: Small,Suburb
Lake Michigan College,227700,3,,0.4015,0.1908,,3411.0,7895.0,0.744444444,6399,50550.1,1,2,1,0.0,0.0,41.0,7126.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Lake Superior State University,229300,3,1027.0,0.3913,0.568,0.9188854489164,3068.0,6460.0,0.752783964,13750,53637.55,1,4,1,0.0,0.0,33.0,10381.0,Graduate,Public,Great Lakes,Town: Remote,Town
Lansing Community College,227800,3,,0.3954,0.4504,,16011.0,8047.0,0.648305085,6405,61402.42,2,2,1,0.0,0.0,12.0,7092.0,Associates,Public,Great Lakes,City: Midsize,City
Lawrence Technological University,227900,3,1156.0,0.1726,0.3034,0.55286446204005,2975.0,7631.0,0.856777494,19500,73119.88,1,4,2,0.0,0.0,13.0,26876.0,Graduate,Private non-profit,Great Lakes,City: Small,City
M J Murphy Beauty College of Mount Pleasant,1321800,3,,0.7865,0.764,,59.0,,0.442622951,5250,47913.24,3,1,3,0.0,0.0,32.0,5291.0,Certificate,Private for-profit,Great Lakes,Town: Distant,Town
Macomb Community College,890600,3,,0.2289,0.0743,,22001.0,8556.0,0.734972678,2750,68409.6,2,2,1,0.0,0.0,12.0,6963.0,Associates,Public,Great Lakes,City: Midsize,City
Madonna University,228200,3,1030.0,0.3288,0.5027,0.59876543209876,3130.0,7532.0,0.672131148,21000,72787.1,1,4,2,0.0,0.0,13.0,14104.0,Graduate,Private non-profit,Great Lakes,City: Small,City
Marygrove College,228400,3,780.0,0.6942,0.8313,0.5749128919860601,914.0,6730.0,0.5234375,18237.5,51580.09,1,4,2,0.0,0.0,11.0,14455.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Rochester College,228800,3,949.0,0.4686,0.7318,0.57888493475682,794.0,5647.0,0.66873065,15000,72043.03,1,4,2,0.0,0.0,21.0,16211.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
University of Michigan-Ann Arbor,232500,3,1384.0,0.1538,0.3202,0.2627758364384,24412.0,10886.0,0.836720227,19250,77145.9,1,4,1,0.0,0.0,12.0,14521.0,Graduate,Public,Great Lakes,City: Midsize,City
Michigan Barber School Inc,2361500,3,,0.6807,0.0,,145.0,,,PrivacySuppressed,46084.56,2,1,2,0.0,0.0,11.0,14524.0,Certificate,Private non-profit,Great Lakes,City: Large,City
Michigan State University,229000,3,1159.0,0.2211,0.4504,0.6628045325779,34342.0,11164.0,0.844480476,22150,72140.18,1,4,1,0.0,0.0,13.0,16788.0,Graduate,Public,Great Lakes,City: Small,City
Michigan Technological University,229200,3,1207.0,0.252,0.5758,0.75436316375789,5666.0,9815.0,0.932220039,19986.5,61737.2,1,4,1,0.0,0.0,33.0,15237.0,Graduate,Public,Great Lakes,Town: Remote,Town
University of Michigan-Dearborn,232600,3,1105.0,0.44,0.6574,0.62270856715301,6615.0,9040.0,0.651643193,18750,67620.59,1,4,1,0.0,0.0,13.0,12220.0,Graduate,Public,Great Lakes,City: Small,City
University of Michigan-Flint,232700,3,992.0,0.4199,0.7034,0.7358346094946401,5786.0,8143.0,0.571559633,18750,64807.7,1,4,1,0.0,0.0,12.0,14223.0,Graduate,Public,Great Lakes,City: Midsize,City
Mid Michigan Community College,676800,3,,0.4405,0.3661,,2316.0,7594.0,0.681451613,6500,47718.61,2,2,1,0.0,0.0,41.0,7137.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Monroe County Community College,229400,3,,0.3352,0.2229,,3555.0,9476.0,0.683544304,5500,68241.04,2,2,1,0.0,0.0,41.0,4736.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Montcalm Community College,229500,3,,0.4629,0.28600000000000003,,1545.0,7608.0,0.428571429,7000,54116.93,2,2,1,0.0,0.0,42.0,6467.0,Associates,Public,Great Lakes,Rural: Distant,Rural
Mr Bela's School of Cosmetology Inc,2158600,3,,1.0,1.0,,90.0,,0.535211268,5277,64211.3,3,1,3,0.0,0.0,12.0,10199.0,Certificate,Private for-profit,Great Lakes,City: Midsize,City
Muskegon Community College,229700,3,,0.375,0.1573,,4311.0,9397.0,0.692982456,4500,54088.77,2,2,1,0.0,0.0,13.0,5168.0,Associates,Public,Great Lakes,City: Small,City
Everest Institute-Southfield,982800,3,,0.659,0.6138,,710.0,,0.183133188,8528.5,55313.57,3,1,2,0.0,0.0,13.0,24766.0,Certificate,Private non-profit,Great Lakes,City: Small,City
North Central Michigan College,229900,3,,0.4924,0.1802,,2196.0,7913.0,0.674242424,5500,52008.94,2,2,1,0.0,0.0,41.0,3391.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Northern Michigan University,230100,3,1011.0,0.3738,0.6187,0.6987972508590999,7575.0,7748.0,0.738230729,14864,57050.02,1,4,1,0.0,0.0,33.0,12468.0,Graduate,Public,Great Lakes,Town: Remote,Town
Paul Mitchell the School-Escanaba,3490300,3,,0.7333,0.72,,,,0.461538462,9833,46729.95,3,1,3,0.0,0.0,33.0,17833.0,Certificate,Private for-profit,Great Lakes,Town: Remote,Town
Northwestern Michigan College,230200,3,,0.3772,0.3527,,3965.0,7334.0,0.725373134,8000,56998.2,1,3,1,0.0,0.0,33.0,9166.0,Bachelors,Public,Great Lakes,Town: Remote,Town
Northwood University,407200,3,1026.0,0.4131,0.8263,0.6944065484311,3657.0,7299.0,0.698630137,18494.5,64809.96,1,4,2,0.0,0.0,13.0,22526.0,Graduate,Private non-profit,Great Lakes,City: Small,City
Oakland Community College,230300,3,,0.3373,0.2267,,23188.0,8581.0,0.593333333,5055,70734.55,2,2,1,0.0,0.0,21.0,4471.0,Associates,Public,Great Lakes,Suburb: Large,Suburb
Oakland University,230700,3,1070.0,0.3165,0.5307,0.80387718952962,12002.0,8963.0,0.708209693,18271,78696.54,1,4,1,0.0,0.0,21.0,11929.0,Graduate,Public,Great Lakes,Suburb: Large,Suburb
Olivet College,230800,3,931.0,0.491,0.8567,0.56867969212551,977.0,5819.0,0.738197425,19856.5,62696.44,1,4,2,0.0,0.0,42.0,20320.0,Graduate,Private non-profit,Great Lakes,Rural: Distant,Rural
Port Huron Cosmetology College,894600,3,,0.3333,0.3011,,72.0,,PrivacySuppressed,7666,79220.2,3,1,3,0.0,0.0,21.0,10986.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Kuyper College,231100,3,1010.0,0.4142,0.6903,0.71162790697674,51.0,5239.0,0.841269841,16855,68721.86,1,3,2,0.0,0.0,21.0,17932.0,Bachelors,Private non-profit,Great Lakes,Suburb: Large,Suburb
Ross Medical Education Center-Lansing,2533600,3,,0.5864,0.5186,,46.0,,0.333333333,9500,60892.43,3,1,3,0.0,0.0,21.0,19371.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Ross Medical Education Center-Madison Heights,2180100,3,,0.6328,0.4792,,23.0,,0.310047847,9500,56708.81,3,1,3,0.0,0.0,21.0,17098.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Ross Medical Education Center-Flint,2099700,3,,0.7028,0.5018,,51.0,,0.296614211,9500,54076.94,3,1,3,0.0,0.0,21.0,17596.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Sacred Heart Major Seminary,231300,3,,0.112,0.108,1.0,275.0,6505.0,PrivacySuppressed,12900,73787.59,1,4,2,0.0,0.0,11.0,12882.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Saginaw Valley State University,231400,3,1030.0,0.4095,0.7373,0.76142348754448,7059.0,7691.0,0.704560926,17452.5,57827.75,1,4,1,0.0,0.0,41.0,14579.0,Graduate,Public,Great Lakes,Rural: Fringe,Rural
Schoolcraft College,231500,3,,0.3557,0.1611,,9016.0,9271.0,0.60199005,4711,73165.19,1,2,1,0.0,0.0,13.0,4574.0,Associates,Public,Great Lakes,City: Small,City
Siena Heights University,231600,3,1027.0,0.3963,0.649,0.7749015194147401,1713.0,5851.0,0.674193548,15000,63208.96,1,4,2,0.0,0.0,32.0,16683.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
St Clair County Community College,231000,3,,0.354,0.1994,,3972.0,8185.0,0.714285714,5500,59722.58,2,2,1,0.0,0.0,23.0,5785.0,Associates,Public,Great Lakes,Suburb: Small,Suburb
Southwestern Michigan College,231700,3,,0.4854,0.3218,,3047.0,6271.0,PrivacySuppressed,6500,53289.97,2,2,1,0.0,0.0,41.0,7531.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Specs Howard School of Media Arts,2237800,3,,0.4274,0.6384,,388.0,,0.402797203,10054,64916.66,3,1,3,0.0,0.0,13.0,,Certificate,Private for-profit,Great Lakes,City: Small,City
Spring Arbor University,231800,3,1073.0,0.4478,0.7472,0.6888745148770999,2125.0,5191.0,0.76344086,20150,61521.97,1,4,2,0.0,0.0,23.0,18156.0,Graduate,Private non-profit,Great Lakes,Suburb: Small,Suburb
Michigan Career and Technical Institute,2618400,3,,0.7227,0.0,,535.0,,,PrivacySuppressed,58145.1,3,1,1,0.0,0.0,42.0,8349.0,Certificate,Public,Great Lakes,Rural: Distant,Rural
Finlandia University,232200,3,886.0,0.5274,0.7465,0.45947802197802,383.0,5093.0,0.782894737,11335,47498.69,1,3,2,0.0,0.0,33.0,23275.0,Bachelors,Private non-profit,Great Lakes,Town: Remote,Town
Western Michigan University-Thomas M. Cooley Law School,1262700,3,,,,,,11549.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,12.0,,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Twin City Beauty College,3075200,3,,0.5198,0.4322,,63.0,,0.415929204,8753,54939.43,3,1,3,0.0,0.0,23.0,12689.0,Certificate,Private for-profit,Great Lakes,Suburb: Small,Suburb
Walsh College of Accountancy and Business Administration,407100,3,,0.3337,0.5979,,1170.0,8543.0,0.807073955,13105.5,78019.08,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,Great Lakes,City: Small,City
Washtenaw Community College,232800,3,,0.3497,0.2635,,11089.0,7585.0,PrivacySuppressed,5500,69488.83,2,2,1,0.0,0.0,21.0,4090.0,Associates,Public,Great Lakes,Suburb: Large,Suburb
Wayne County Community College District,923000,3,,0.6245,0.2882,,9008.0,6136.0,0.4,4500,47227.85,2,2,1,0.0,0.0,11.0,5438.0,Associates,Public,Great Lakes,City: Large,City
Wayne State University,232900,3,1070.0,0.4649,0.5677,0.79868118693176,18093.0,9961.0,0.69525066,15750,61912.62,1,4,1,0.0,0.0,11.0,13258.0,Graduate,Public,Great Lakes,City: Large,City
West Shore Community College,795000,3,,0.4361,0.1414,,1273.0,8294.0,0.628571429,5660,47304.92,2,2,1,0.0,0.0,42.0,3411.0,Associates,Public,Great Lakes,Rural: Distant,Rural
Paul Mitchell the School-Grand Rapids,4230500,3,,0.28,0.3067,,,,,7126.5,,3,1,3,0.0,0.0,21.0,,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Western Michigan University,233000,3,1030.0,0.3829,0.6649,0.8237891268533699,22756.0,9317.0,0.743705463,20000,69141.32,1,4,1,0.0,0.0,13.0,16870.0,Graduate,Public,Great Lakes,City: Small,City
Western Theological Seminary,233100,3,,,,,,6674.0,,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,Great Lakes,City: Small,City
Wright Beauty Academy,1229100,3,,0.3939,0.0152,,40.0,,,6332,55748.33,3,1,3,0.0,0.0,13.0,10030.0,Certificate,Private for-profit,Great Lakes,City: Small,City
Academy College,2050300,4,,0.5039,0.6929,,301.0,,0.517241379,16837,68489.76,1,3,3,0.0,0.0,13.0,27296.0,Bachelors,Private for-profit,Plains,City: Small,City
Alexandria Technical & Community College,554400,4,,0.28300000000000003,0.3998,,2192.0,7718.0,0.838095238,8750,53373.03,2,2,1,0.0,0.0,41.0,14521.0,Associates,Public,Plains,Rural: Fringe,Rural
American Indian OIC Inc,2514100,4,,0.5437,0.0,,14.0,,,PrivacySuppressed,44867.51,3,1,2,0.0,0.0,11.0,7612.0,Certificate,Private non-profit,Plains,City: Large,City
Anoka Technical College,735000,4,,0.4201,0.48,,2046.0,7440.0,0.806282723,9500,76462.78,2,2,1,0.0,0.0,21.0,13283.0,Associates,Public,Plains,Suburb: Large,Suburb
Anoka-Ramsey Community College,233200,4,,0.3459,0.397,,2926.0,7637.0,0.779510022,7926,74988.96,2,2,1,0.0,0.0,21.0,11703.0,Associates,Public,Plains,Suburb: Large,Suburb
Augsburg College,233400,4,1032.0,0.4002,0.6774,0.59179487179487,2913.0,7424.0,0.881773399,21500,72224.74,1,4,2,0.0,0.0,11.0,23536.0,Graduate,Private non-profit,Plains,City: Large,City
Riverland Community College,233500,4,,0.3426,0.3602,,3182.0,7696.0,PrivacySuppressed,9213,54434.11,2,2,1,0.0,0.0,32.0,9991.0,Associates,Public,Plains,Town: Distant,Town
Northwest Technical College,575900,4,,0.406,0.4161,,942.0,7576.0,0.659574468,8250,47209.41,2,2,1,0.0,0.0,33.0,10972.0,Associates,Public,Plains,Town: Remote,Town
Bemidji State University,233600,4,1010.0,0.3378,0.598,0.93803585346843,3889.0,8273.0,0.801265823,13000,55158.96,1,4,1,0.0,0.0,33.0,14720.0,Graduate,Public,Plains,Town: Remote,Town
Bethany Lutheran College,233700,4,1074.0,0.3936,0.7175,0.85302593659942,440.0,6495.0,0.908333333,16372,62776.68,1,3,2,0.0,0.0,13.0,16294.0,Bachelors,Private non-profit,Plains,City: Small,City
Bethel University,905800,4,1127.0,0.2571,0.6639,0.94905290659699,2652.0,7495.0,0.941414141,19500,77038.37,1,4,2,0.0,0.0,21.0,26602.0,Graduate,Private non-profit,Plains,Suburb: Large,Suburb
Bethel Seminary-St Paul,905803,4,1127.0,,,0.94905290659699,,6138.0,0.941414141,19500,77038.37,1,4,2,0.0,0.0,21.0,,Graduate,Private non-profit,Plains,Suburb: Large,Suburb
Central Lakes College-Brainerd,233900,4,,0.3132,0.3132,,1572.0,7732.0,0.812903226,9095,51837.78,2,2,1,0.0,0.0,33.0,10618.0,Associates,Public,Plains,Town: Remote,Town
Carleton College,234000,4,1400.0,0.1313,0.4711,0.20648616483189006,1936.0,11575.0,0.943573668,18730,71070.84,1,3,2,0.0,0.0,32.0,28892.0,Bachelors,Private non-profit,Plains,Town: Distant,Town
Concordia College at Moorhead,234600,4,,0.2243,0.6808,0.7818261633011401,2826.0,7173.0,0.925207756,24314.5,60523.09,1,4,2,0.0,0.0,22.0,22306.0,Graduate,Private non-profit,Plains,Suburb: Midsize,Suburb
Concordia University-Saint Paul,234700,4,,0.3768,0.6701,0.55428186109238,1355.0,4719.0,0.775280899,15000,71270.22,1,4,2,0.0,0.0,11.0,17750.0,Graduate,Private non-profit,Plains,City: Large,City
Dakota County Technical College,1040200,4,,0.3471,0.4206,,3086.0,7626.0,0.798668885,9405,79004.18,2,2,1,0.0,0.0,41.0,12584.0,Associates,Public,Plains,Rural: Fringe,Rural
Martin Luther College,236100,4,1145.0,0.3523,0.595,0.7786259541984699,1026.0,4468.0,PrivacySuppressed,16500,64939.16,1,4,2,0.0,0.0,32.0,17612.0,Graduate,Private non-profit,Plains,Town: Distant,Town
Lake Superior College,575700,4,,0.3676,0.4270000000000001,,3972.0,7529.0,0.794542536,8711,53713.72,2,2,1,0.0,0.0,13.0,13355.0,Associates,Public,Plains,City: Small,City
Cosmetology Careers Unlimited College of Hair Skin and Nails,960000,4,,0.5357,0.6071,,21.0,,PrivacySuppressed,7160,50030.44,3,1,3,0.0,0.0,13.0,13528.0,Certificate,Private for-profit,Plains,City: Small,City
Duluth Business University,989200,4,,0.7759999999999999,0.9126,,267.0,2861.0,0.6125,19000,49253.21,1,3,3,0.0,0.0,13.0,30083.0,Bachelors,Private for-profit,Plains,City: Small,City
Minnesota State Community and Technical College,554100,4,,0.3849,0.4595,,2082.0,7535.0,0.620689655,8500,50877.25,2,2,1,0.0,0.0,33.0,11054.0,Associates,Public,Plains,Town: Remote,Town
Minnesota West Community and Technical College,526300,4,,0.3196,0.329,,3296.0,7482.0,0.776911076,8979,49873.46,2,2,1,0.0,0.0,33.0,10574.0,Associates,Public,Plains,Town: Remote,Town
Gustavus Adolphus College,235300,4,,0.2511,0.6455,0.6706033927421,2388.0,6951.0,0.900439239,26000,72113.21,1,3,2,0.0,0.0,31.0,21640.0,Bachelors,Private non-profit,Plains,Town: Fringe,Town
Hamline University,235400,4,1127.0,0.3622,0.6971,0.72390488110137,1851.0,6210.0,0.854809437,18270.5,70958.04,1,4,2,0.0,0.0,11.0,21150.0,Graduate,Private non-profit,Plains,City: Large,City
